date,krx_semi,btc_krw
2018-03-21,26347.0,9919000.0
2018-03-22,26106.0,9783000.0
2018-03-23,24534.0,9847000.0
2018-03-24,24534.0,9580000.0
2018-03-25,24534.0,9477000.0
2018-03-26,25241.0,9052000.0
2018-03-27,24999.0,8651000.0
2018-03-28,24563.0,8730000.0
2018-03-29,24808.0,7915000.0
2018-03-30,25009.0,7602000.0
2018-03-31,25009.0,7697000.0
2018-04-01,25009.0,7482000.0
2018-04-02,24636.0,7710000.0
2018-04-03,24549.0,8092000.0
2018-04-04,24114.0,7492000.0
2018-04-05,24597.0,7408000.0
2018-04-06,24332.0,7280000.0
2018-04-07,24332.0,7533000.0
2018-04-08,24332.0,7622000.0
2018-04-09,24435.0,7450000.0
2018-04-10,24365.0,7428000.0
2018-04-11,24795.0,7429000.0
2018-04-12,25302.0,8121000.0
2018-04-13,25482.0,8375000.0
2018-04-14,25482.0,8350000.0
2018-04-15,25482.0,8663000.0
2018-04-16,25506.0,8663000.0
2018-04-17,25492.0,8450000.0
2018-04-18,25520.0,8652000.0
2018-04-19,26030.0,8994000.0
2018-04-20,25585.0,9552000.0
2018-04-21,25585.0,9735000.0
2018-04-22,25585.0,9602000.0
2018-04-23,25231.0,9760000.0
2018-04-24,24645.0,10505000.0
2018-04-25,24515.0,9829000.0
2018-04-26,25024.0,10130000.0
2018-04-27,25055.0,9819000.0
2018-04-28,25055.0,10043000.0
2018-04-29,25055.0,10187000.0
2018-04-30,24648.0,10138000.0
2018-05-01,24648.0,9896000.0
2018-05-02,24447.0,10032000.0
2018-05-03,24314.0,10683000.0
2018-05-04,24066.0,10645000.0
2018-05-05,24066.0,10820000.0
2018-05-06,24066.0,10684000.0
2018-05-07,24066.0,10422000.0
2018-05-08,23763.0,10233000.0
2018-05-09,24106.0,10405000.0
2018-05-10,24362.0,9976000.0
2018-05-11,24629.0,9256000.0
2018-05-12,24629.0,9481000.0
2018-05-13,24629.0,9803000.0
2018-05-14,24289.0,9797000.0
2018-05-15,24343.0,9500000.0
2018-05-16,24289.0,9297000.0
2018-05-17,24329.0,9090000.0
2018-05-18,24653.0,9165000.0
2018-05-19,24653.0,9112000.0
2018-05-20,24653.0,9370000.0
2018-05-21,24742.0,9345000.0
2018-05-22,24742.0,8940000.0
2018-05-23,25668.0,8483000.0
2018-05-24,25593.0,8415000.0
2018-05-25,25583.0,8317000.0
2018-05-26,25583.0,8162000.0
